direction,alpha,loss
0,-1.0,0.7454579460730755
0,-0.9,0.6785012140469415
0,-0.8,0.588878101592359
0,-0.7,0.4853624055170672
0,-0.6,0.3827024950125454
0,-0.5,0.2940507828241546
0,-0.3999999999999999,0.2257063822267209
0,-0.29999999999999993,0.17687478164973103
0,-0.19999999999999996,0.14358117169740148
0,-0.09999999999999998,0.12324593658855917
0,0.0,0.11530411673210969
0,0.10000000000000009,0.11869925588358801
0,0.20000000000000018,0.13050560873021816
0,0.30000000000000004,0.1469978206818015
0,0.40000000000000013,0.1652965704297656
0,0.5,0.18413475913773336
0,0.6000000000000001,0.20389393528788033
0,0.7000000000000002,0.22584235298013128
0,0.8,0.2507711608877147
0,0.9000000000000001,0.2783717323479481
0,1.0,0.30762764018123756
1,-1.0,0.5888379887709723
1,-0.9,0.5671219149601351
1,-0.8,0.5365891204736917
1,-0.7,0.4948165075604948
1,-0.6,0.4426189947977889
1,-0.5,0.3839632147653433
1,-0.3999999999999999,0.3207125351345282
1,-0.29999999999999993,0.25507176849884194
1,-0.19999999999999996,0.1921795740980379
1,-0.09999999999999998,0.14218706749210128
1,0.0,0.11530411673210969
1,0.10000000000000009,0.1143465026518037
1,0.20000000000000018,0.13236824965707983
1,0.30000000000000004,0.15801472280519566
1,0.40000000000000013,0.18629725948189374
1,0.5,0.21793350911680986
1,0.6000000000000001,0.2514844011373683
1,0.7000000000000002,0.286109275873789
1,0.8,0.3243426290608805
1,0.9000000000000001,0.3677141266285207
1,1.0,0.41498664045131545
2,-1.0,0.34104762796612426
2,-0.9,0.3120610047135839
2,-0.8,0.28235985437755995
2,-0.7,0.252971474035961
2,-0.6,0.22476145405074424
2,-0.5,0.19838686595239569
2,-0.3999999999999999,0.17435409707274235
2,-0.29999999999999993,0.1532539799632351
2,-0.19999999999999996,0.13588333391239701
2,-0.09999999999999998,0.12304260382593712
2,0.0,0.11530411673210969
2,0.10000000000000009,0.11307591028056423
2,0.20000000000000018,0.11680642890078541
2,0.30000000000000004,0.1269544210275867
2,0.40000000000000013,0.14365294280772237
2,0.5,0.1665591089471934
2,0.6000000000000001,0.1954966147369012
2,0.7000000000000002,0.23111234256725122
2,0.8,0.2739375114075688
2,0.9000000000000001,0.32331386038973
2,1.0,0.3785497604674577
