n_qubits,n_reuploads,max_frequency_theta,dtheta_dx_mean,dtheta_dx_min,dtheta_dx_max,near_constant_scaling,max_frequency_x_mean,max_frequency_x_min,max_frequency_x_max
3,1,1.0,0.2518191354773717,0.14995720125850556,0.43775131950860463,False,0.2518191354773717,0.14995720125850556,0.43775131950860463
3,2,2.0,0.2518191354773717,0.14995720125850556,0.43775131950860463,False,0.5036382709547434,0.2999144025170111,0.8755026390172093
3,3,3.0,0.2518191354773717,0.14995720125850556,0.43775131950860463,False,0.7554574064321151,0.4498716037755167,1.3132539585258138
3,5,5.0,0.2518191354773717,0.14995720125850556,0.43775131950860463,False,1.2590956773868587,0.7497860062925278,2.188756597543023
4,1,1.0,0.21098628889205634,0.08841789059408364,0.43775131950860463,False,0.21098628889205634,0.08841789059408364,0.43775131950860463
4,2,2.0,0.21098628889205634,0.08841789059408364,0.43775131950860463,False,0.4219725777841127,0.17683578118816728,0.8755026390172093
4,3,3.0,0.21098628889205634,0.08841789059408364,0.43775131950860463,False,0.632958866676169,0.2652536717822509,1.3132539585258138
4,5,5.0,0.21098628889205634,0.08841789059408364,0.43775131950860463,False,1.0549314444602818,0.44208945297041824,2.188756597543023
5,1,1.0,0.24658685973398975,0.08841789059408364,0.43775131950860463,False,0.24658685973398975,0.08841789059408364,0.43775131950860463
5,2,2.0,0.24658685973398975,0.08841789059408364,0.43775131950860463,False,0.4931737194679795,0.17683578118816728,0.8755026390172093
5,3,3.0,0.24658685973398975,0.08841789059408364,0.43775131950860463,False,0.7397605792019692,0.2652536717822509,1.3132539585258138
5,5,5.0,0.24658685973398975,0.08841789059408364,0.43775131950860463,False,1.2329342986699487,0.44208945297041824,2.188756597543023
