n_qubits,n_reuploads,max_freq_x,smooth_ratio,shock_ratio
3,1,0.2518191354773717,7.942208189257001,44.34412809348808
3,2,0.5036382709547434,3.9711040946285006,22.17206404674404
3,3,0.7554574064321151,2.647402729752334,14.781376031162695
3,5,1.2590956773868587,1.5884416378514001,8.868825618697615
4,1,0.21098628889205634,9.479288964711964,52.92618804112455
4,2,0.4219725777841127,4.739644482355982,26.463094020562274
4,3,0.632958866676169,3.1597629882373215,17.64206268037485
4,5,1.0549314444602818,1.8958577929423925,10.585237608224908
5,1,0.24658685973398975,8.110732267556909,45.285057006063866
5,2,0.4931737194679795,4.055366133778454,22.642528503031933
5,3,0.7397605792019692,2.7035774225189693,15.095019002021289
5,5,1.2329342986699487,1.6221464535113816,9.057011401212772
