n_qubits,n_reuploads,seed,l2_smooth_t_lt_0.3,l2_shock_t_ge_0.5,n_points_smooth,n_points_shock
3,1,0,0.782317892486513,0.8519768441974402,960,1600
3,1,1,0.8867282493268721,0.9026736197428045,960,1600
3,1,2,0.9919677747868773,0.9851111128643093,960,1600
3,2,0,0.5930321236183086,0.6660532113798828,960,1600
3,2,1,0.5835448509492731,0.6615236678467772,960,1600
3,2,2,0.864570583265893,0.9181941686720884,960,1600
3,3,0,0.5999125982058114,0.6804500338062864,960,1600
3,3,1,0.5885078535448962,0.6683519907495288,960,1600
3,3,2,0.9469439213121347,0.9752607953200433,960,1600
3,5,0,0.6223902034483886,0.7521819130454125,960,1600
3,5,1,0.6279322687269194,0.6812768119957111,960,1600
3,5,2,0.7636276053872508,0.8032397607696814,960,1600
4,1,0,0.8198483664374798,0.873471702755733,960,1600
4,1,1,0.8110048727380333,0.8719259963574159,960,1600
4,1,2,0.8668578027856289,0.9380780666863459,960,1600
4,2,0,0.6178373447308446,0.7116302098157995,960,1600
4,2,1,0.5796208303788165,0.6623340106982041,960,1600
4,2,2,0.7770492449387667,0.821694214896056,960,1600
4,3,0,0.5892820997215136,0.6584423364161083,960,1600
4,3,1,0.6240981445592241,0.7028285254229638,960,1600
4,3,2,0.6371977204497984,0.6996757179465529,960,1600
4,5,0,0.6555876339568714,0.7428527813760879,960,1600
4,5,1,0.5702940690199005,0.640639613150508,960,1600
4,5,2,0.5898686895599395,0.6603149269524072,960,1600
5,1,0,0.7085648389562853,0.796299184701057,960,1600
5,1,1,0.7360074714957248,0.8006819735527773,960,1600
5,1,2,0.9456499260653815,0.9592251606165892,960,1600
5,2,0,0.840981225091664,0.889287764545784,960,1600
5,2,1,0.6170626355541545,0.7010615813690447,960,1600
5,2,2,0.7038207896865096,0.7642990787880166,960,1600
5,3,0,0.579391330318299,0.664038502375203,960,1600
5,3,1,0.6267886183770021,0.7066071765305252,960,1600
5,3,2,0.6239252958810102,0.7035292124914099,960,1600
5,5,0,0.568391057799199,0.659398837949692,960,1600
5,5,1,0.6055848806584562,0.6766064672570498,960,1600
5,5,2,0.5957852793333162,0.6854322911183347,960,1600
