epoch,train_loss,l2_error,pde_residual_error
100,0.1296524123905909,0.7230519746993057,0.008510673076893148
200,0.1097459071513435,0.6242256586134902,0.028845650243066893
300,0.10437741370916426,0.6180247070970667,0.031813767331352875
400,0.10510563676909454,0.6134137436204355,0.03311466791649509
500,0.10782845267442302,0.6185840234805359,0.0310184207772382
600,0.09843444451837748,0.6063999494644471,0.03535294597591475
700,0.08133593104918911,0.6189825933925719,0.030599368115499254
800,0.10165727390434681,0.5979278554219266,0.03717580096462948
900,0.10053513366039069,0.6090559607874051,0.03153341258802858
1000,0.08843178962629841,0.6084493241277824,0.033170491024046594
