config,total_variation,mean_abs_gradient,amplitude_range
q3_r1,0.6771526349993754,0.33857631749968825,0.5979982347084826
q5_r5,1.560419501063621,0.7802097505318119,0.9407439199546341
cole_hopf_reference,3.6880716017570134,1.84403580087851,1.9998470227760339
