config,n_qubits,n_reuploads,effective_rank
q3_r1,3,1,1.3654362380236345
q3_r2,3,2,2.212478021764015
q3_r3,3,3,2.8850423102271345
q3_r5,3,5,2.4991941081014173
q4_r1,4,1,1.2616402747768003
q4_r2,4,2,2.3063827434972364
q4_r3,4,3,2.2465594091611716
q4_r5,4,5,3.00461373794838
q5_r1,5,1,1.6919267241214209
q5_r2,5,2,2.16107767287267
q5_r3,5,3,3.2089619663183306
q5_r5,5,5,2.81891732357206
