n_qubits,n_reuploads,max_frequency,smooth_ratio,shock_ratio
3,1,1.0,2.0,11.166666666666666
3,2,2.0,1.0,5.583333333333333
3,3,3.0,0.6666666666666666,3.722222222222222
3,5,5.0,0.4,2.2333333333333334
4,1,1.0,2.0,11.166666666666666
4,2,2.0,1.0,5.583333333333333
4,3,3.0,0.6666666666666666,3.722222222222222
4,5,5.0,0.4,2.2333333333333334
5,1,1.0,2.0,11.166666666666666
5,2,2.0,1.0,5.583333333333333
5,3,3.0,0.6666666666666666,3.722222222222222
5,5,5.0,0.4,2.2333333333333334
