epoch,train_loss,l2_error,pde_residual_error,wall_clock_elapsed_sec
100,0.1972714597174581,0.90582807119628,0.00069593927156623,141.5943341255188
200,0.19711135180594502,0.9046200092333848,0.0007584706174989958,214.5019884109497
300,0.1969477915025747,0.9045611501992279,0.0008479134699851235,315.69247674942017
400,0.1958009078241539,0.9050619369563735,0.0011390579550067225,462.11675930023193
500,0.19287617161244883,0.9083543564167984,0.0028817966872715234,605.7486348152161
600,0.1886923679901922,0.90902902946219,0.004795505069981212,749.2090141773224
700,0.17845122691389034,0.8875658469526596,0.003465492333613358,892.7255058288574
800,0.16087221201075927,0.8510082509067322,0.0024727221033410637,1035.0883717536926
900,0.13800024546746614,0.8010608937906655,0.0034612704781439817,1179.469685792923
1000,0.11591311438878552,0.7455775017186113,0.007435983482627178,1323.2165064811707
1100,0.10137185651435374,0.6937594335860848,0.01485938519472666,1466.095086812973
1200,0.09672083990298642,0.660050325308506,0.022694118436566636,1579.2291672229767
1300,0.09256082302365917,0.6417798012479772,0.028002647208981855,1650.4107511043549
1400,0.09805952472287603,0.6397394183155776,0.029334625743965833,1719.3526511192322
1500,0.09101905737484806,0.6377469805198084,0.029984492609416654,1788.924441576004
1600,0.09494656149637004,0.644673785132059,0.027697540769822046,1856.5567030906677
1700,0.0904629630845189,0.638453307949409,0.029859774833051012,1929.154104232788
1800,0.09228733241026262,0.6375301426751121,0.029677136495458233,2001.6380815505981
1900,0.09535805679025729,0.6385775216025259,0.029387838712267324,2074.0934298038483
2000,0.09425893787267764,0.6391805620932491,0.029813523138514576,2144.209141969681
2100,0.09494599658964925,0.6402607299392372,0.0295833731027792,2211.8722817897797
2200,0.09163291893915704,0.6359478864004375,0.030750951455212772,2279.9690041542053
2300,0.09790824169521611,0.6374624000381746,0.030000879559595496,2348.3389859199524
2400,0.09350036125512015,0.637738797530428,0.02952861661917601,2416.28062582016
2500,0.09175225470395512,0.6364373175026766,0.03037832910685206,2483.8269567489624
2600,0.094057224452197,0.6419794438334253,0.028717153302812395,2551.4809188842773
2700,0.09544255974547773,0.6375416978411049,0.029785130273682025,2620.6086456775665
2800,0.09494299438995171,0.6367112481687326,0.029879063960846042,2691.873839378357
2900,0.09283839638122066,0.6348599155895978,0.03029277675446069,2766.45582652092
3000,0.0935433119280896,0.6379389643414707,0.029568913649329703,2836.7691719532013
3100,0.08972933384877542,0.639264790982347,0.02956990008399054,2907.8881483078003
3200,0.0888603173247281,0.6365998409651275,0.02988911194060866,2979.006984233856
3300,0.08993168529326731,0.6380264743963288,0.029896967644218005,3050.2989361286163
3400,0.08844721765473089,0.6366445970858515,0.02985861642438695,3122.279881000519
3500,0.09098113126177443,0.6395131865530742,0.028803517990280466,3194.5534405708313
3600,0.09360009027777953,0.6370784627805015,0.029656620372931243,3266.34189248085
3700,0.0903149098585725,0.6362363014671162,0.029769908074716193,3337.431159257889
3800,0.08764469940631978,0.6349832329328495,0.030535717810539893,3409.196350812912
3900,0.09428382300873485,0.6348712073607944,0.030445675538867557,3480.922441482544
4000,0.08961271042241167,0.6375626814588448,0.02921216743530399,3551.5350003242493
4100,0.08628074980169567,0.6374887168956255,0.02937822741640117,3622.850569009781
4200,0.0892374324474984,0.6323104874579775,0.030799890732498336,3691.420098543167
4300,0.0908434069248723,0.6321221452780313,0.0305695899344549,3760.152932882309
4400,0.0945560802897275,0.6320898361857561,0.03094866919856493,3830.5167570114136
4500,0.09008524840630593,0.6353805412320397,0.029662547127432718,3901.9675126075745
4600,0.09445375387704402,0.6337785687284044,0.030005707385931585,3973.286721467972
4700,0.08681260163832039,0.6314809188285929,0.03041494579700477,4045.591922521591
4800,0.09476983903726359,0.6361789984748427,0.02956025322580196,4117.207769870758
4900,0.09130250054487465,0.6363308368378953,0.02979465763326988,4187.039822816849
5000,0.09014026409507037,0.635278962661898,0.03009168435095338,4257.953114032745
