topology,retrained,l2_error,pde_residual_error,mean_pairwise_correlation,effective_rank
ring,False,0.6245276235992602,0.035853677793967254,0.8891426324064499,2.81891732357206
linear,True,0.6403110751683739,0.028433656037390013,0.02405059874220701,2.892796604865783
none,True,0.7428816092296228,0.01937000586753457,-0.07036527609718078,4.521136155063849
