config,epoch,mean_pairwise_correlation,effective_rank
q3_r1,100,0.9911051811982522,1.3654362380236345
q3_r1,300,0.8843861600752376,2.099794179464303
q3_r1,500,0.7829476880458032,2.332495043207842
q5_r5,100,0.8891426324064499,2.81891732357206
q5_r5,300,0.7985605942177526,3.29587578214539
q5_r5,500,0.77151040195069,3.498059194563392
