model,n_seeds,l2_error_mean,l2_error_std,pde_residual_error_mean,pde_residual_error_std,final_train_loss_mean,final_train_loss_std,train_time_sec_mean,train_time_sec_std,param_count,peak_memory_mb
classical_control,3,0.895111016920298,0.005172857592203563,0.0010658252324499795,6.923603400030732e-05,0.19506476608040654,0.016702163126280926,19.566919088363647,0.6261516215693691,17,178.859375
classical_matched,3,0.8984164398119047,0.004628858688071648,0.0009835046248877104,0.00012443974349369226,0.21181873370920046,0.013408037812658414,9.28400985399882,0.3520811306184536,73,179.44921875
