n_qubits,n_reuploads,mean_grad_variance
3,1,3.5500535437439984e-06
3,2,7.587864555523307e-06
3,3,1.1239327468725873e-05
3,5,0.0001713
4,1,4.144868534609016e-06
4,2,6.491370693911705e-06
4,3,4.7605944120949815e-06
4,5,4.34191784233654e-05
5,1,1.8709781070710286e-05
5,2,1.6507666643820102e-05
5,3,9.598458969743291e-06
5,5,1.617198942644716e-05
