n_qubits,n_reuploads,seed,l2_error,pde_residual_error,train_time_sec
3,1,0,0.7487093023590561,0.0038025678386420536,159.03888964653015
3,2,0,0.2429979952234438,0.0012983775288083312,434.33685517311096
3,3,0,0.4031805644119866,0.004785970888278486,487.76890087127686
3,5,0,0.3741484858642731,0.006519660573114412,838.0158932209015
4,1,0,0.798511291444399,0.0031870953706660122,306.263888835907
4,2,0,0.2350259477605794,0.0012002399572166418,728.0536456108093
4,3,0,0.22196172930528202,0.0016252604850554406,857.5683741569519
4,5,0,0.3961607049609483,0.010456946758240816,1635.663447380066
5,1,0,0.6097012734841397,0.00588263358840959,373.5518386363983
5,2,0,0.7938046510741077,0.004610184821007219,931.9999344348907
5,3,0,0.19450482389265217,0.0021897154655519417,1219.6576011180878
5,5,0,0.2584801641545496,0.0013259650840641269,2271.7345776557922
3,1,1,0.8708259540205587,0.0005318513247830371,153.52274298667908
3,2,1,0.26111026207396315,0.0009553063484095715,274.4901261329651
3,3,1,0.16192259135927317,0.0005430359699366484,403.49445247650146
3,5,1,0.43119684263715435,0.004298175603977886,665.7846004962921
4,1,1,0.7729266773602631,0.004844731241779784,201.43355417251587
4,2,1,0.3260011737473326,0.002513436153466644,371.15180349349976
4,3,1,0.3384007096904683,0.0006491510752801202,538.3637871742249
4,5,1,0.4385906652107953,0.07602742152212084,893.0026879310608
5,1,1,0.6736654772944642,0.005935741149146637,251.15392661094666
5,2,1,0.24910539663104903,0.0008230743621367056,471.3287694454193
5,3,1,0.46853253322423316,0.0006346706546468548,684.13503074646
5,5,1,0.34590391532541126,0.002206814805093705,1114.5568399429321
