n_qubits,n_layers,observable,n_samples,grad_variance,grad_mean
2,4,projector_zero,200,0.02175491835459187,0.01085510379282468
4,8,projector_zero,200,0.0012502764368567659,-0.00451122485382729
6,12,projector_zero,200,0.00010155905488060739,0.0004506635243699272
8,16,projector_zero,200,1.2546194966483516e-05,4.228733101715155e-05
3,6,projector_zero,200,0.005977565059112451,0.0012540103888416718
4,8,projector_zero,200,0.0012502764368567659,-0.00451122485382729
5,10,projector_zero,200,0.0003863476370703886,0.0007716692401035402
